time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451550000	8.67246	20.7095	4.78739	-2.87184	0.479417	radar	4.48176	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40066	20.6249	4.84521	-2.84455	0.4815	lidar	2.73643	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.1721	20.5446	4.84798	-2.81502	0.491683	radar	0.107558	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93107	20.4645	4.86479	-2.79192	0.489618	lidar	0.124731	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71501	20.378	4.86523	-2.75799	0.512775	radar	3.5124	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.41238	20.3197	4.96264	-2.756	0.484267	lidar	3.54872	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.18161	20.2227	4.96231	-2.73345	0.479555	radar	0.219052	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.91856	20.1406	5.00603	-2.7219	0.464779	lidar	0.770259	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.69376	20.0487	4.99389	-2.70587	0.452569	radar	0.457133	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.44569	19.9581	5.019	-2.69329	0.440938	lidar	0.379593	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.22891	19.8642	5.00413	-2.67579	0.437047	radar	2.80966	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.96685	19.7715	5.04832	-2.6688	0.419716	lidar	0.896505	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.74084	19.6248	5.08099	-2.62823	0.455665	radar	2.04022	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.55932	19.5026	5.03034	-2.60012	0.462664	lidar	1.2445	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.3585	19.353	5.02554	-2.56617	0.478022	radar	1.73867	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.14322	19.252	5.01695	-2.55676	0.462235	lidar	1.90756	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94899	19.1404	4.96943	-2.54837	0.434929	radar	4.61829	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78316	18.989	4.92696	-2.51459	0.449426	lidar	0.712529	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
